ID	화풍	키	무엇을 주장하나	언제 쓰나(정서·소재)	쓰면 안 되는 것	세부 갈래	근거·실증
SA-01	극화	webtoon	「이건 웃자고 하는 이야기가 아니다」를 선 굵기와 명암으로 선언한다 — 태생이 「극화=드라마틱한 그림」 대 「만화=웃기는 그림」의 대항어이고, 짙은 그림자와 닳은 얼굴로 개인이 아니라 구조가 사람을 짓누른다고 주장한다	CD-05 권력·가해 해부 · CD-07 대치·심문 · CD-06 긴박·공포 · CD-09 증거·디테일 · CD-17 감시·관찰됨 · CD-13 몰락·실각 · CD-04 분노·격앙 / 소재 = 범죄 재구성·수사·법정·내부 고발·산업재해·비정규직·폐쇄 조직·장기 미제·계급 격차	실존 피해자·유족의 얼굴(정밀 해부학 묘사가 무기라 실존 인물에 쓰면 「사실처럼 보이는 허구」가 된다 · 논픽션 만화의 표준 대응인 자기반영 장치가 콘티엔 없다) · CD-08 헌사·추모/CD-01 비통·상실(무거운 명암은 긴장 장치지 애도 장치가 아니다 — 추모에 쓰면 사건을 스릴러로 소비) · CD-20 데이터·설명(명암 자체가 「여기 어두운 게 있다」는 주장) · CD-14 희망·안도(저채도와 정면충돌) · CD-10 미성년 안전(폭력 묘사가 미화로 뒤집힐 위험)	온도 = 순정>명랑>기본>시대극>게키카>하드보일드(오른쪽이 차갑다) · 기본=현대 한국 사회 고발(노동·갑질·조직 부조리 = 독자 해독 비용 최저) · 게키카=가장 무겁고 오래된 부조리(「어제 생긴 일이 아니다」 · 산업재해·빈곤·반복된 방치) · 하드보일드=감정을 빼서 서늘해진다(조직범죄·청부·추적 ⚠피해자 정서에 절대 금지 = 냉담함이 피해자로 향하면 무정한 그림) · 시대극=현대 사건을 역사 은유로(되풀이되는 권력 구조·세습·문벌) · 순정=가장 따뜻(개인의 관계·상실 ⚠구조 비판엔 고발 무게가 빠진다) · 명랑=참사·범죄·사망에 절대 금지(무피해 소재만)	Gekiga(다쓰미 1957 · 소외된 도시 노동자·학생운동의 매체) · Kamui-den(봉건 계급투쟁 서사 = 시대극으로 현대 정치 발언한 실증) · Golgo 13(하드보일드 설득력은 감정이 아니라 절차적 정확성) · Chiaroscuro 조명(도덕적 모호·갇힘) · Joe Sacco 만화 저널리즘(실존 피해자 묘사의 착취 위험 · 자기반영이 대응책) · 순정만화 눈 연출(연출 수단이 눈뿐) · 최규석 송곳(한국 웹툰의 사회 고발 자리) — 웹 근거 · 이 레포 실행 미실증
SA-02	수채	watercolor	경계가 무너지는 그림 — 번진 자국은 지우거나 고칠 수 없다. 「이건 아직 정리되지 않은 감정이고 우리도 다 알지 못한다」고 주장하며, 사진의 증거 무게를 일부러 내려놓고 목격이 아니라 애도의 자리에 선다	CD-01 비통·상실 · CD-02 부재·여운 · CD-08 헌사·추모 · CD-10 미성년 안전 · CD-03 무차별·고립·막막 · CD-14 희망·안도(회복 국면) / 소재 = 유가족·피해자 중심 서사·신원을 밝힐 수 없는 피해자·실종과 미수습·기일 추모·부고와 인물 회고·투병과 돌봄·재난 이후의 마을	CD-05 권력·가해 해부/CD-11 위선 폭로/CD-12 권력 과시/CD-13 몰락·실각(번짐이 가해자의 윤곽을 물리적으로 흐린다 = 책임 소재를 그림이 앞장서 지운다 · 손택 「아름답게 만들기 = 도덕적 반응의 표백」) · CD-09 증거·디테일/CD-20 데이터·설명(이 화풍의 미덕이 통제 불가능인데 그 축은 정확한 경계를 요구 = 정면충돌) · CD-06 긴박·공포/CD-07 대치·심문(물번짐이 속도를 늦춰 「이미 지나간 일」로 보이게 한다) · CD-15 아이러니·풍자(날이 없어 조롱이 애틋함으로 읽힌다)	기본=중간 온도(피해자 개인사·회복 과정·지역 공동체) · 번짐=온도 최고·통제 최저(사건 직후 비통·실종과 미수습 = 아직 끝나지 않아 윤곽을 그릴 수 없는 것 · 형태가 특정 안 돼 신원 비공개 피해자에도 맞다) · 세밀=절제와 예의(유품·현장의 물건·인물 헌사 · 경계가 살아 있어 「정확해야 하는데 사진은 못 쓰는」 미성년 소재에 강하다) · 수묵=온도 최저·의례(여백이 곧 부재를 말한다 = 원로 부고·국가적 애도·시간이 지난 참사의 기일 · 사건 당일의 격한 감정엔 너무 멀다) · 과슈=건조하고 평평(감정을 흘리지 않고 사람 이야기 · 공공 안내에 온기) · 유화=무게 최대(역사가 된 순간만 · 국가적 대형 사건 회고·공식 헌사 ⚠살아 있는 권력자에게 쓰면 비판이 아니라 그 권력을 기념해버린다 = 역사화가 실제로 왕조 유지에 쓰인 장르)	미술치료 애도 연구(번지는 붓질 = 연약함 · 통제 안 되는 붓질 = 슬픔의 혼란) · 「슬픔은 수채화다」(윤곽은 남고 경계가 흐려진다) · 투명수채화협회(투명성 = 이 매체의 서명 · 젖은 종이가 가장 통제 안 되는 효과) · 손택 타인의 고통 · 여백 미학(관조의 여지를 남기는 미완) · 수묵비엔날레(대비의 부재·농담만으로 절제) · 임파스토(물성 자체가 이야기) · 역사화 장르 연구(최상위 장르 · 왕조와 제국 유지에 쓰임) · 세월호 노란 책(사진이 못 가는 자리를 그림이 대신한 한국 사례) — 웹 근거 · 이 레포 실행 미실증
SA-03	실사	photo	「이 일은 실제로 일어났고 카메라가 그 자리에 있었다」 — 스타일이 아니라 증언·증거의 문법. 고르는 순간 그림이 스스로 「나는 기록이다」라고 말한다	CD-09 증거·디테일 · CD-20 데이터·설명(중립) · CD-07 대치·심문 · CD-18 군중·집단 · CD-16 관료적 부조리 · CD-11 위선·이중성 폭로 / 소재 = 기자회견·국정감사·법원 출석·현장 검증·집회·통계 발표·제도 설명	재난 피해자·유가족의 얼굴·오열·신체(재난보도준칙 금지 — 실사는 「실제 사진」을 주장하므로 없는 피해자를 만들면 인권 침해와 날조가 동시 성립) · 미성년 식별 묘사 · 미확인 의혹(찍혔다를 주장 = 증거 위조 효과) · 실존 인물의 없던 행위 · CD-15 아이러니·풍자(문자 그대로 읽혀 풍자 신호가 안 선다)	기본=오늘 벌어진 현재형 · 필름=시간의 두께(몇 년 전 사건 재조명·장기 추적) · 흑백=역사적 무게·엄숙(CD-08 헌사·추모, CD-13 몰락·실각, CD-02 부재·여운 ⚠진행 중 사안에 쓰면 「끝난 일」로 오독) · 시네다큐=지금·여기의 긴급(CD-06 긴박·공포, CD-21 충격·반전) · 뉴스릴=공적 기록의 어조(CD-15 풍자로 권위 차용 ⚠오늘 속보 금지·진짜 아카이브로 오인될 소재 금지)	재난보도준칙(한국기자협회) · Post-Documentary Photography(진실성 주장) · Semiotics of B&W(역사적 무게·무시간성) · Shaky camera/Cinema Verite(핸드헬드 즉시성) · The March of Time(재연 혼합 「진실에 봉사하는 가짜」) · RTDNA·FRONTLINE(재연 표시 의무) · Stanford JSK(포토리얼 생성 금지 언론사) — 웹 근거 · 이 레포 실행 미실증
SA-04	만평	cartoon	「이 사건의 요점은 이것 하나다」를 은유 한 개로 못박고 책임이 누구에게 있는지 손가락으로 가리킨다 — 설명이 아니라 판정이라 중립일 수가 없다	CD-15 아이러니·풍자 · CD-11 위선·이중성 폭로 · CD-12 권력 과시·허세 · CD-16 관료적 부조리 · CD-13 몰락·실각 · CD-04 분노·격앙 / 소재 = 정책 모순·말바꾸기·인사 참사·감독 실패·예산 배분·국회 공방·총수와 고위공직자의 책임 회피	CD-01 비통·상실/CD-08 헌사·추모/참사 직후(캐리커처 문법이 과장인데 유족·희생자를 과장하면 그 순간 조롱 — 풍자 윤리의 기본이 「위로 치고 아래로 안 친다」) · 실존 피해자·미성년·특정 집단의 얼굴(비판이 견해가 아니라 정체성을 겨냥하면 경계를 넘는다 = 실제 게재 철회 사례 축) · CD-20 데이터·설명/CD-09 증거·디테일(정의상 주장이라 없는 논조를 만들고 은유 하나에 세부를 담을 밀도가 없다) · CD-06 긴박·공포(원인 확정 전에 은유가 먼저 범인을 지목) · CD-10 미성년 안전(단 책임 기관·제도를 겨냥하면 정당)	온도 = 판화>붓선>기본>플랫(왼쪽이 뜨겁다) · 기본=표준 신문 만평(정치·정책 일반) · 붓선=그날의 즉각 반응(속보성 논평·정치인 개인의 말과 행동 · 화를 내도 웃음이 남는다 = 고바우 영감 계보) · 플랫=가장 차갑고 논리로 찌른다(제도·숫자·절차의 모순) · 판화=계보가 다르다 = 풍자가 아니라 선전미술(CD-04 분노·CD-19 결의·CD-18 군중 · 노동·집회·연대 ⚠웃음이 없다 · 논쟁 중 중립 사안에 쓰면 화풍 자체가 편들기 = 두 색 구조가 곧 「우리 편과 저쪽」)	한국 신문시사만화 연구(만화의 태생은 비판과 주장) · 시각 은유 연구(과장이 부조리를 증폭) · 고바우 영감(14,139회 · 계엄 검열 표적 = 권력과 맞선 자리 실증) · 만평 윤리(정체성 겨냥 = 경계 초과 · 2023 워싱턴포스트 철회) · Punching up(위로 치기) · 루쉰 신흥목판화(싸고 복제되고 잔인할 만큼 직접적) · 케테 콜비츠 · 오윤과 민중미술(판화 = 운동의 언어) — 웹 근거 · 이 레포 실행 미실증
SA-05	시네마틱	cinematic	「이 장면에는 의미가 있다」 — 사실이 아니라 해석·논평을 주장한다. 실사가 증인이면 이쪽은 논평자다	CD-05 권력·가해 해부 · CD-11 위선·이중성 폭로 · CD-13 몰락·실각 · CD-17 감시·관찰됨 · CD-19 결의·각오 · CD-21 충격·반전 / 소재 = 구조적 문제 심층 기획·기관 내부 해부·장기 부패·인물 평전·의미를 묻는 해설물	실제 참사·피해자·유가족(손택 「아름답게 만드는 것은 도덕적 반응을 표백한다」) · 가해자를 주인공처럼 세우는 구도(매끈한 미학이 비판과 미화의 경계를 지운다) · 정치 지도자·군중의 영웅적 연출(벤야민 「정치의 심미화」 = 선전 문법 그 자체) · CD-20 데이터·설명(극적 조명은 중립을 못 지킨다) · 속보(제작 시간이 보여 즉시성이 죽는다)	기본=「중요한 이야기」 신호 ⚠티얼-앰버는 할리우드 기본값이라 아무 데나 쓰면 신호가 아니라 잡음 · 누아르=도덕적 부패·함정·감시(CD-05·CD-17·CD-07 · 수사·기소·내부고발·은폐) · 네온=기술이 못 푼 문제(CD-03 무차별·고립 · 플랫폼 노동·온라인 도박·청년 고립 ⚠농촌·전통·재난 부적합) · 35mm=기억의 질감(CD-08 추모·CD-02 여운·CD-14 희망) · 표현주의=제도가 개인을 짓누름(CD-16 관료적 부조리 ⚠사실 보도 금지·정신질환 소재 금지 = 공포영화 어휘로 계승돼 낙인)	Film Noir 블라인드 그림자(부패·감금 상징) · German Expressionism(왜곡 세트 = 심리의 거울) · Benjamin 정치의 심미화 · Sontag Regarding the Pain of Others · True Crime 윤리 연구(가해자 미화) · Teal&Orange 남용 비판 · Neon Noir(기업 통제·소외) — 웹 근거 · 이 레포 실행 미실증
SA-06	일러스트	illust	개념을 그림 하나로 압축한다 — 평평한 도형과 넉넉한 빈 공간이 「우리는 현장이 아니라 이 사안의 구조를 설명하고 있다」는 선언이라, 눈에 안 보이는 것(제도·돈의 흐름·이해충돌·통계)을 그릴 수 있다	CD-20 데이터·설명(중립) · CD-05 권력·가해 해부 · CD-11 위선·이중성 폭로 · CD-16 관료적 부조리 · CD-17 감시·관찰됨 · CD-15 아이러니·풍자 · CD-21 충격·반전 · CD-18 군중·집단 · CD-07 대치·심문 · CD-10 미성년 안전 / 소재 = 정책·제도 해설·부동산과 금융·기업 지배구조·카메라가 못 들어가는 공간(법정·밀실·이사회)·신원을 가려야 하는 취재원·여러 사건을 묶는 총론	CD-01 비통·상실/CD-08 헌사·추모/실존 피해자의 죽음(평면 도형은 사람을 기호로 만든다 = 애도가 아니라 요약이 되고 죽은 사람이 다이어그램 부품으로 보인다 · 이 계열 대표 양식이 「진지한 사안을 정화하고 사소하게 만든다」는 비판을 정면으로 받았다) · CD-06 긴박·공포의 현장성(정돈된 도형이 속도와 혼란을 지운다) · CD-09 증거·디테일(사진이 가능한 상황에 쓰면 「증거가 없어 그림으로 때웠다」로 읽힌다)	기본=개념 설명 기본값(은유 하나로 끝나야 하고 둘을 섞으면 죽는다) · 리소=아래에서 위를 보는 자세(잉크 어긋남 = 상업 인쇄 바깥에서 급히 찍어낸 표식 → CD-04 분노·CD-18 군중·CD-19 결의 · 집회·노동·세입자·학생 = 제도권이 아니라 당사자 목소리) · 페이퍼=오려 붙인 흔적이 곧 「누군가 짜맞췄다」는 주장(포토몽타주의 정치 폭로 계보 → CD-11 위선·CD-05 해부·CD-17 감시) · 애니=인물 중심·감정 정면(대중문화 축 = 연예·팬덤·게임·청년 문화·스포츠 ⚠실제 참사·실존 피해자에 쓰면 소비 논란이 즉시 붙는다) · 레트로80=시선이 과거에 있다(시대 회고·옛 유행 재발견 ⚠독재기·참사기 회고엔 금지에 가깝다 = 어두운 시대를 단순화·정화한다는 비판을 그대로 받는다)	개념·에디토리얼 일러스트 이론(만질 수 없는 것을 그린다) · 법정 스케치 전통(촬영 금지 공간을 그림이 대신 · 「카메라는 모든 것을 보지만 아무것도 잡지 못한다」) · 사진 지표성 이론(사진=물리적 각인=증거 / 그림=해석) · 아이소타입 노이라트(「말은 나누고 그림은 잇는다」) · 노마 바(최소 요소로 최대 소통) · 코퍼릿 멤피스 비판(정화·사소화) · 리소그래프(풀뿌리·활동가 도구) · 존 하트필드 포토몽타주(「사진을 무기로」) · 애니 키비주얼 정의 · 복고 미학의 역사 수정 비판 — 웹 근거 · 이 레포 실행 미실증
SA-07	3D	iso3d	「이 일은 위에서 내려다보면 이런 구조다」 — 등각투영은 소실점이 없어 앞뒤가 같은 크기로 그려진다 = 보는 사람의 자리가 지워진 그림이라 「누구 편에서 본 게 아니라 그냥 잰 것」이라고 주장한다. 픽토가 감정을 뺀 중립이면 이쪽은 시점을 뺀 중립이다	CD-20 데이터·설명(중립) · CD-09 증거·디테일 · CD-05 권력·가해 해부 · CD-16 관료적 부조리 · CD-17 감시·관찰됨 · CD-18 군중·집단(배치와 동선) / 소재 = 사고 경위 재구성(누가 어디서 어느 순서로)·건물과 시설 구조·제도와 돈의 흐름·조직도·도시와 인프라·공정 설명	CD-01 비통·상실/CD-02 부재·여운/CD-08 헌사·추모(어휘에 박힌 「미니어처 디오라마 느낌」이 곧 심리적 거리 장치 — 거리가 멀어지면 감정 강도가 내려간다는 건 감정 조절 기법으로 쓰일 만큼 확립돼 있다 = 추모에 쓰면 애도를 덜어내는 그림) · CD-06 긴박·공포(등각 부감은 사건 바깥의 자리라 무서움이 안 실린다) · ⚠사망자가 있는 사고를 그릴 때 사람 형상 금지(구조·동선·시각만 그리면 설명이고 인물을 배치하는 순간 「모형으로 만든 죽음」이 된다)	기본=정확하게 잰 것만 주장하고 태도를 안 붙인다(사고 경위·제도 도해의 표준) · 클레이=무해·친근·손의 온기(CD-15 풍자·CD-14 희망·CD-10 미성년 안전에만 ⚠죽음·피해자 절대 금지 = 손자국의 따뜻함이 「귀엽게 만들었다」로 읽힌다) · 로우폴리=각지고 차갑고 정보가 깎여 있다(기술적 한계에서 나온 양식이라 「아직 해상도가 부족하다」는 함의 = CD-20·CD-17·CD-13 · 확정 안 된 초기 보도에 유리) · 디오라마=심각성을 덜어내는 것이 기능 자체(틸트시프트 얕은 심도 = 뇌가 「작다」로 읽는 광학 신호 → CD-12 권력 과시를 축소해 우스꽝스럽게·CD-15 풍자 ⚠참사·죽음 금지)	등각투영 원리(소실점 없음 = 치수 정확도를 택한 기술 도해 표준) · 해석수준이론(심리적 거리 = 감정 강도 하락 · 실제 감정 조절 기법) · 틸트시프트 축소 지각 · 3D 사고 재구성의 설명력(혼란한 장면을 시간 순서가 보이는 인과로) · 수전 스튜어트 On Longing(축소 = 세계를 손에 쥘 판본으로) · 클레이 재질 연구(지문·손의 흔적 = 따뜻함) · 로우폴리 유래(한계가 양식이 됨) — 웹 근거 · 이 레포 실행 미실증
SA-08	픽토	pictogram	「이건 한 사람의 사연이 아니라 셀 수 있는 사실이다」 — ⚠ 단 중립이 먼저 있고 그린 게 아니라 **중립처럼 보이게 만드는 수사가 먼저다**. 단순한 형태·제한된 색·넓은 여백은 객관성의 인상을 만들려고 고른 장치이지 객관 그 자체가 아니다	CD-20 데이터·설명(중립) · CD-16 관료적 부조리 · CD-17 감시·관찰됨 · CD-05 권력·가해 해부 · CD-11 위선·이중성 폭로(앞뒤 대조 도해) · CD-09 증거·디테일 / 소재 = 제도 해설·통계와 예산·절차와 신청 흐름·법 개정 전후·조직 구조·안내와 경고 · ⚠ 기존 매핑 CD-20이 지목하는 「인포그래픽」이 정확히 이 자리다(픽토는 새 화풍이 아니라 그 자리의 다른 이름)	CD-01 비통·상실/CD-08 헌사·추모/CD-02 부재·여운(사람을 반복되는 동일 단위로 그리는 문법이라 개별 죽음이 수량이 되고 유가족에겐 그 자체가 모욕으로 읽힌다) · CD-06 긴박·공포/CD-21 충격·반전(노이라트 본인이 못박은 한계 = 그림은 만질 수 있는 구체물만 보여줄 뿐 추상을 못 담는다 → 공포가 도표가 된다) · ⚠사망자 수를 사람 모양 아이콘으로 반복해 세는 구성 특히 주의(사람 모양이 공감을 키운다는 통념은 실험으로 뒷받침되지 않았다)	기본=굵은 아이콘과 강한 여백(결론이 확정된 사안·한 장 요약·통계) · 라인=가늘고 덜 단정적(아직 진행 중이거나 확정 안 된 사안·절차 흐름도·여러 갈래 경우의 수 = 굵은 덩어리가 주는 「이미 끝난 얘기」 느낌을 피할 때) · 청사진=「이건 우연이 아니라 누군가 설계한 것」이라는 주장(1842년 시안 인화에서 온 형식 · 관청 제출 설계 문서의 얼굴 → CD-05·CD-11·CD-16·사전 모의가 드러난 사건 ⚠우발적 사고에 쓰면 배후를 암시해 음모론처럼 읽힌다)	아이소타이프 「중립의 수사」 연구(단순화·제한색·군집 배열 = 객관성을 강화하려 동원된 장치 · 그 안에 양식적 선택과 정치·문화적 전제가 있다) · 노이라트 시각교육(그림은 추상을 못 담는다) · 터프티 데이터잉크 비율(장식 제거 = 그래픽 정직성) · 사람 형상 그래픽 공감 실험(표준 차트와 효과 차이 거의 없음) · 픽토그램 인지 비용·문화 의존 연구 · 청사진 시안 인화 계보 · 국내 재난 보도 피해자 묘사 연구 — 웹 근거 · 이 레포 실행 미실증
SA-09	레고	lego	「이건 가지고 놀 수 있는 것이다」 — ⚠ 이 화풍만 **중립이 불가능하다**. 조립식 장난감은 이미 아이·놀이·조립과 해체에 묶여 있어 무엇을 그리든 「장난감으로 다뤄도 되는 것」이라는 태도가 자동으로 얹힌다. 3D가 거리를 만들고 픽토가 감정을 지운다면 레고는 **무게를 지운다**	CD-15 아이러니·풍자 · CD-12 권력 과시·허세 · CD-11 위선·이중성 폭로 · CD-13 몰락·실각(쌓은 것이 도로 무너지는 문법) · CD-16 관료적 부조리 / 소재 = 정치인 말바꾸기·조직 개편과 인사 돌려막기·공약 짜맞추기·유행과 밈·완구와 게임 산업 자체를 다루는 기사	CD-01 비통·상실 · CD-02 부재·여운 · CD-08 헌사·추모 · CD-06 긴박·공포 · CD-03 무차별·고립·막막 · CD-10 미성년 안전 · CD-04 분노·격앙(피해자가 실재하는 경우) = **전부 금지** · ⚠⚠ 정서 라벨만으로 거르면 새는 구멍이 있다 — CD-05 해부나 CD-15 풍자로 분류된 기사가 실제로는 사상자가 있는 사건일 수 있다 → **「기사에 사망·부상·실종자가 있으면 후보에서 제외」를 정서 축과 별도 하드 조건으로 걸어라**(이 화풍의 가장 중요한 안전장치) · ⚠실명 인물을 미니피겨로 그리는 것도 갈린다(풍자 대상인 권력자는 성립 · 피해자·유가족·미성년자는 어떤 라벨에서도 금지)	세부 없음 — 강도 조절은 조명으로 한다(어휘에 이미 「자연광 스튜디오 조명·진짜 그림자와 깊이」가 있어 실물 촬영처럼 무게가 실린다). 더 가볍게 가려면 레고 안에서 쪼개지 말고 SA-07 디오라마로 내려가라	가자 레고 세트 사건 2024(참사를 브릭으로 재현 → 비인간화 비판) · 즈비그니에프 리베라 강제수용소 작품 논쟁(생존자 경험의 사소화) · 아우슈비츠 기념관 기준(놀이 형식 재현이 왜 문제인지 기관이 명문화) · 지브리풍 AI 참사 이미지 반발 2025(부드러운 화풍 일반이 참사에 닿을 때의 구조적 사고) · 레고사의 아이웨이웨이 주문 거절과 번복(브랜드조차 정치적 무게를 문제로 인식) · 이란 선전 영상 2026(브릭 문법이 정치 조롱·확산엔 실제로 잘 듣는다 = 참사에 위험한 이유의 뒷면) — 웹 근거 · 이 레포 실행 미실증
NOTE	판정 순서	—	① 하드 컷을 정서보다 **먼저** 본다 ② 그다음 정서·소재로 화풍을 고른다 ③ 세부로 감정 온도를 맞춘다	하드 컷 = 기사에 사망·부상·실종·유가족이 있으면 → 레고(SA-09) 전면 제외 · 3D의 클레이·디오라마 제외 · 실사로 피해자 얼굴 묘사 금지 · 만평으로 피해자 캐리커처 금지	거리의 종류가 서로 다르다 = 픽토는 **감정**을 지우고 · 3D는 **시점**을 지우고 · 레고는 **무게**를 지운다 → CD-20 데이터·설명엔 앞의 둘 다 쓸 수 있지만 **셀 수 있는 것은 픽토 · 배치와 순서가 있는 것은 3D**로 가른다	감정 강도 사다리(약함→강함) = 디오라마·클레이 < 로우폴리 < 3D 기본 < 픽토 라인 < 픽토 기본 < 청사진 — 사건이 무거울수록 오른쪽으로 · 미확정 사안 = 로우폴리와 픽토 라인이 「아직 덜 그려졌다」는 함의를 가져 속보·초기 보도에 유리하고, 청사진과 픽토 기본은 결론이 선 뒤에 쓴다 · 극화는 사건 **안으로** 들어가 구조를 해부하고 만평은 사건 **밖에서** 한 문장으로 판정한다 → 원인 미확정이면 극화가 안전하고 책임 소재가 드러났으면 만평이 강하다	표는 출발점이고 사건의 결이 우선(16_curation_dispatch NOTE 관례 계승)
